source;target;weight
0;37;0,316700041294
0;46;0,406372725964
0;45;0,423166066408
0;4;0,447306096554
0;30;0,499493420124
0;42;0,500256717205
0;6;0,562636971474
0;12;0,563692688942
0;16;0,618123590946
0;13;0,637317299843
0;18;1,06845831871
0;29;1,07192367315
0;39;1,27338111401
0;15;1,61390012503
0;34;2,24793875217
0;1;2,47950428724
0;19;2,89598107338
0;3;3,59135752916
0;11;3,79363226891
0;28;3,90044116974
0;23;3,90900927782
0;22;4,15314811468
0;47;4,58851456642
0;38;4,61435419321
0;27;5,75083345175
0;8;6,53349232674
0;33;7,68903207779
0;7;8,27734616399
0;2;8,73540958762
0;10;8,83940187097
0;21;11,644012928
0;41;15,4128731787
0;32;16,8926744759
0;48;21,2164194882
0;20;26,4436005652
0;0;299,671201438
1;40;0,309795618057
1;12;0,322660684586
1;6;0,350074291229
1;3;0,369752079248
1;15;0,415171265602
1;24;0,415760546923
1;34;0,445607244968
1;41;0,481269240379
1;48;0,521389007568
1;42;0,687245428562
1;20;0,812323153019
1;22;1,1573278904
1;44;1,39249706268
1;10;1,39378172159
1;21;1,59589189291
1;8;1,67319786549
1;9;1,79054325819
1;7;1,8900667429
1;33;1,98129218817
1;47;2,02210015059
1;32;2,15002769232
1;13;2,17501118779
1;17;2,31019431353
1;38;2,47355428338
1;0;2,47950428724
1;46;2,76962262392
1;49;3,2047945857
1;23;3,34103140235
1;43;4,57982516289
1;26;6,80209547281
1;30;7,67370855808
1;18;9,30028706789
1;37;11,3695864379
1;1;79,3102383316
2;34;0,323587626219
2;27;0,344952613115
2;3;0,345595002174
2;41;0,346611261368
2;22;0,363953381777
2;8;0,394648492336
2;48;0,411618322134
2;33;0,446011304855
2;32;0,458428263664
2;42;0,701035648584
2;49;0,749250054359
2;43;1,0367629528
2;7;1,07162129879
2;20;1,22718074918
2;15;1,38330066204
2;26;3,31342190504
2;0;8,73540958762
2;2;19,3764718771
3;40;0,331199496984
3;2;0,345595002174
3;1;0,369752079248
3;27;0,389781802893
3;21;0,397155553102
3;10;0,441158235073
3;4;0,643359899521
3;31;0,706112623215
3;6;0,787581562996
3;9;0,92854192853
3;42;0,985521137714
3;28;1,01797962189
3;30;1,22148087621
3;46;1,25218811631
3;17;1,39291360974
3;39;1,61565998197
3;34;1,63800728321
3;12;1,7151902914
3;22;2,10884934664
3;13;2,10922417045
3;18;2,31901118159
3;14;2,64045771956
3;43;2,74024525285
3;8;3,10408177972
3;0;3,59135752916
3;26;3,87615960836
3;49;4,67805662751
3;15;5,30493611097
3;45;5,39194849133
3;37;6,33860582113
3;32;6,55450072885
3;44;29,5227420926
3;3;87,0565369129
4;30;0,330604195595
4;20;0,340040028095
4;39;0,367458999157
4;28;0,434813439846
4;5;0,438565075397
4;36;0,440898120403
4;0;0,447306096554
4;26;0,52086353302
4;3;0,643359899521
4;8;0,728429973125
4;45;0,790107756853
4;15;0,816507011652
4;42;0,823854535818
4;12;0,832939177752
4;19;0,857684493065
4;38;1,174921453
4;18;1,20298945904
4;46;1,46382263303
4;14;1,68002152443
4;49;4,43961176276
4;43;6,08295589685
4;13;9,01728963852
4;4;43,8533242047
5;29;0,353797823191
5;7;0,362827777863
5;12;0,403271734715
5;4;0,438565075397
5;45;0,442390441895
5;33;0,450631886721
5;44;0,481964528561
5;23;0,695948570967
5;39;0,759075969458
5;15;0,80461782217
5;17;0,874339818954
5;8;0,92381504178
5;27;0,9322039783
5;37;1,05781191587
5;42;1,18116125464
5;18;1,2203989923
5;9;1,22258776426
5;46;1,28026214242
5;38;1,46479612589
5;49;1,50421765447
5;28;2,41066834331
5;43;3,19597774744
5;24;3,21309787035
5;14;4,83823651075
5;13;16,517185986
5;5;51,9032591879
6;7;0,301855176687
6;23;0,317917346954
6;42;0,3293582201
6;45;0,331921547651
6;12;0,34342199564
6;27;0,34364759922
6;18;0,343845903873
6;1;0,350074291229
6;31;0,408170640469
6;26;0,442083030939
